0;164
1;165
2;166
3;167
4;168
5;169
6;170
7;171
8;231
9;206
10;207
11;208
12;209
13;210
14;211
15;212
16;213
17;230
18;232
19;264
20;374
21;191
22;192
23;193
24;194
25;194
26;195
27;256
28;257
29;258
30;259
31;233
32;234
33;235
34;236
35;237
36;238
37;251
38;331
39;332
40;333
41;334
42;335
43;172
44;173
45;174
46;175
47;176
48;177
49;178
50;179
51;180
52;181
53;182
54;183
55;184
56;185
57;186
58;187
59;188
60;189
61;190
62;196
63;197
64;198
65;199
66;200
67;201
68;202
69;203
70;204
71;214
72;215
73;216
74;217
75;218
76;219
77;220
78;221
79;222
80;223
81;224
82;225
83;226
84;227
85;228
86;229
87;230
88;232
89;264
90;239
91;240
92;241
93;242
94;243
95;244
96;245
97;246
98;247
99;248
100;249
101;250
102;260
103;261
104;262
105;263
106;373
107;316
